name,type,dex_num,category,target,power,accuracy,priority,pp,short_description,long_description,has_secondary_effect,is_multi_hit,multi_hit_high,multi_hit_low,ignores_substitute,ignores_protect,bounceable,bite,bullet,contact,dance,heal,powder,pulse,punch,slice,sound,wind,boosted_by_sheer_force,ohko,is_z_move,is_max_move,is_legal
Shed Tail,"""Normal""",880,Status,self,0,-1,0,10,User takes 1/2 its max HP to pass a substitute.,"The user takes 1/2 of its maximum HP, rounded up, and creates a substitute that has 1/4 of the user's maximum HP, rounded down. The user is replaced with another Pokemon in its party and the selected Pokemon has the substitute transferred to it. Fails if the user would faint, or if there are no unfainted party members.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sheer Cold,"""Ice""",329,Special,normal,0,30,0,5,OHKOs non-Ice targets. Fails if user's lower level.,"Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + X)%, where X is 30 if the user is an Ice type and 20 otherwise, and fails if the target is at a higher level. Ice-type Pokemon and Pokemon with the Sturdy Ability are immune.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Shell Side Arm,"""Poison""",801,Special,normal,90,100,0,10,20% psn. Physical+contact if it would be stronger.,"Has a 20% chance to poison the target. This move becomes a physical attack that makes contact if the value of ((((2 * the user's level / 5 + 2) * 90 * X) / Y) / 50), where X is the user's Attack stat and Y is the target's Defense stat, is greater than the same value where X is the user's Special Attack stat and Y is the target's Special Defense stat. No stat modifiers other than stat stage changes are considered for this purpose. If the two values are equal, this move chooses a damage category at random.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Shell Smash,"""Normal""",504,Status,self,0,-1,0,15,"Lowers Def, SpD by 1; raises Atk, SpA, Spe by 2.","Lowers the user's Defense and Special Defense by 1 stage. Raises the user's Attack, Special Attack, and Speed by 2 stages.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shell Trap,"""Fire""",704,Special,allAdjacentFoes,150,100,-3,5,User must take physical damage before moving.,"Fails unless the user is hit by a physical attack from an opponent this turn before it can execute the move. If the user was hit and has not fainted, it attacks immediately after being hit, and the effect ends. If the opponent's physical attack had a secondary effect removed by the Sheer Force Ability, it does not count for the purposes of this effect.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelter,"""Steel""",842,Status,self,0,-1,0,10,Raises the user's Defense by 2.,Raises the user's Defense by 2 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shift Gear,"""Steel""",508,Status,self,0,-1,0,10,Raises the user's Speed by 2 and Attack by 1.,Raises the user's Speed by 2 stages and its Attack by 1 stage.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shock Wave,"""Electric""",351,Special,normal,60,-1,0,20,This move does not check accuracy.,This move does not check accuracy.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shore Up,"""Ground""",659,Status,self,0,-1,0,5,User restores 1/2 its max HP; 2/3 in Sandstorm.,"The user restores 1/2 of its maximum HP, rounded half down. If the weather is Sandstorm, the user instead restores 2/3 of its maximum HP, rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Signal Beam,"""Bug""",324,Special,normal,75,100,0,15,10% chance to confuse the target.,Has a 10% chance to confuse the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Silk Trap,"""Bug""",852,Status,self,0,-1,4,10,Protects from damaging attacks. Contact: -1 Spe.,"The user is protected from most attacks made by other Pokemon during this turn, and Pokemon trying to make contact with the user have their Speed lowered by 1 stage. Non-damaging moves go through this protection. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Silver Wind,"""Bug""",318,Special,normal,60,100,0,5,10% chance to raise all stats by 1 (not acc/eva).,"Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Simple Beam,"""Normal""",493,Status,normal,0,100,0,15,The target's Ability becomes Simple.,"Causes the target's Ability to become Simple. Fails if the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Simple, Stance Change, Tera Shift, Truant, Zen Mode, or Zero to Hero.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sing,"""Normal""",47,Status,normal,0,55,0,15,Causes the target to fall asleep.,Causes the target to fall asleep.,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sinister Arrow Raid,"""Ghost""",695,Physical,normal,180,-1,0,1,No additional effect.,No additional effect.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sizzly Slide,"""Fire""",735,Physical,normal,60,100,0,20,100% chance to burn the foe.,Has a 100% chance to burn the foe.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Sketch,"""Normal""",166,Status,normal,0,-1,0,1,Permanently copies the last move target used.,"This move is permanently replaced by the last move used by the target. The copied move has the maximum PP for that move. Fails if the target has not made a move, if the user has Transformed, or if the move is Blazing Torque, Combat Torque, Dark Void, Hyperspace Fury, Magical Torque, Noxious Torque, Revival Blessing, Sketch, Struggle, Tera Starstorm, Wicked Torque, or any move the user knows.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Skill Swap,"""Psychic""",285,Status,normal,0,-1,0,10,The user and the target trade Abilities.,"The user swaps its Ability with the target's Ability. Fails if either the user or the target's Ability is As One, Battle Bond, Comatose, Commander, Disguise, Embody Aspect, Hunger Switch, Ice Face, Illusion, Multitype, Neutralizing Gas, Poison Puppeteer, Power Construct, Protosynthesis, Quark Drive, RKS System, Schooling, Shields Down, Stance Change, Tera Shell, Tera Shift, Teraform Zero, Wonder Guard, Zen Mode, or Zero to Hero.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Skitter Smack,"""Bug""",806,Physical,normal,70,90,0,10,100% chance to lower target's Sp. Atk by 1.,Has a 100% chance to lower the target's Special Attack by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Skull Bash,"""Normal""",130,Physical,normal,130,100,0,10,Raises user's Defense by 1 on turn 1. Hits turn 2.,"This attack charges on the first turn and executes on the second. Raises the user's Defense by 1 stage on the first turn. If the user is holding a Power Herb, the move completes in one turn.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sky Attack,"""Flying""",143,Physical,any,140,90,0,5,"Charges, then hits turn 2. 30% flinch. High crit.","Has a 30% chance to make the target flinch and a higher chance for a critical hit. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sky Drop,"""Flying""",507,Physical,any,60,100,0,10,User and foe fly up turn 1. Damages on turn 2.,"This attack takes the target into the air with the user on the first turn and executes on the second. Pokemon weighing 200 kg or more cannot be lifted. On the first turn, the user and the target avoid all attacks other than Gust, Hurricane, Sky Uppercut, Smack Down, Thousand Arrows, Thunder, and Twister. The user and the target cannot make a move between turns, but the target can select a move to use. This move cannot damage Flying-type Pokemon. Fails on the first turn if the target is an ally, if the target has a substitute, or if the target is using Bounce, Dig, Dive, Fly, Phantom Force, Shadow Force, or Sky Drop.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sky Uppercut,"""Fighting""",327,Physical,normal,85,90,0,15,"Can hit Pokemon using Bounce, Fly, or Sky Drop.","This move can hit a target using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop.",0,0,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Slack Off,"""Normal""",303,Status,self,0,-1,0,5,Heals the user by 50% of its max HP.,"The user restores 1/2 of its maximum HP, rounded half up.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Slam,"""Normal""",21,Physical,normal,80,75,0,20,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Slash,"""Normal""",163,Physical,normal,70,100,0,20,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Sleep Powder,"""Grass""",79,Status,normal,0,75,0,15,Causes the target to fall asleep.,Causes the target to fall asleep.,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Sleep Talk,"""Normal""",214,Status,self,0,-1,0,10,User must be asleep. Uses another known move.,"One of the user's known moves, besides this move, is selected for use at random. Fails if the user is not asleep. The selected move does not have PP deducted from it, and can currently have 0 PP. This move cannot select Assist, Beak Blast, Belch, Bide, Blazing Torque, Celebrate, Chatter, Combat Torque, Copycat, Dynamax Cannon, Focus Punch, Hold Hands, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Shell Trap, Sketch, Sleep Talk, Struggle, Uproar, Wicked Torque, or any two-turn move.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sludge,"""Poison""",124,Special,normal,65,100,0,20,30% chance to poison the target.,Has a 30% chance to poison the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sludge Bomb,"""Poison""",188,Special,normal,90,100,0,10,30% chance to poison the target.,Has a 30% chance to poison the target.,1,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sludge Wave,"""Poison""",482,Special,allAdjacent,95,100,0,10,10% chance to poison adjacent Pokemon.,Has a 10% chance to poison the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Smack Down,"""Rock""",479,Physical,normal,50,100,0,15,Removes the target's Ground immunity.,"This move can hit a target using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop. If this move hits a target under the effect of Bounce, Fly, Magnet Rise, or Telekinesis, the effect ends. If the target is a Flying type that has not used Roost this turn or a Pokemon with the Levitate Ability, it loses its immunity to Ground-type attacks and the Arena Trap Ability as long as it remains active. During the effect, Magnet Rise fails for the target and Telekinesis fails against the target.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Smart Strike,"""Steel""",684,Physical,normal,70,-1,0,10,This move does not check accuracy.,This move does not check accuracy.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Smelling Salts,"""Normal""",265,Physical,normal,70,100,0,10,"Power doubles if target is paralyzed, and cures it.","Power doubles if the target is paralyzed. If the user has not fainted, the target is cured of paralysis.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Smog,"""Poison""",123,Special,normal,30,70,0,20,40% chance to poison the target.,Has a 40% chance to poison the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Smokescreen,"""Normal""",108,Status,normal,0,100,0,20,Lowers the target's accuracy by 1.,Lowers the target's accuracy by 1 stage.,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Snap Trap,"""Grass""",779,Physical,normal,35,100,0,15,Traps and damages the target for 4-5 turns.,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Snarl,"""Dark""",555,Special,allAdjacentFoes,55,95,0,15,100% chance to lower the foe(s) Sp. Atk by 1.,Has a 100% chance to lower the target's Special Attack by 1 stage.,1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Snatch,"""Dark""",289,Status,self,0,-1,4,10,User steals certain support moves to use itself.,"If another Pokemon uses certain non-damaging moves this turn, the user steals that move to use itself. If multiple Pokemon use one of those moves this turn, the applicable moves are all stolen by the first Pokemon in turn order that used this move this turn. This effect is ignored while the user is under the effect of Sky Drop.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snipe Shot,"""Water""",745,Special,normal,80,100,0,15,High critical hit ratio. Cannot be redirected.,Has a higher chance for a critical hit. This move cannot be redirected to a different target by any effect.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Snore,"""Normal""",173,Special,normal,50,100,0,15,User must be asleep. 30% chance to flinch target.,Has a 30% chance to make the target flinch. Fails if the user is not asleep.,1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Snowscape,"""Ice""",883,Status,all,0,-1,0,10,"For 5 turns, snow falls. Ice: 1.5x Def.","For 5 turns, the weather becomes Snow. During the effect, the Defense of Ice-type Pokemon is multiplied by 1.5 when taking damage from a physical attack. Lasts for 8 turns if the user is holding Icy Rock. Fails if the current weather is Snow.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Soak,"""Water""",487,Status,normal,0,100,0,20,Changes the target's type to Water.,"Causes the target to become a Water type. Fails if the target is an Arceus or a Silvally, if the target is already purely Water type, or if the target is Terastallized.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Soft-Boiled,"""Normal""",135,Status,self,0,-1,0,5,Heals the user by 50% of its max HP.,"The user restores 1/2 of its maximum HP, rounded half up.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Solar Beam,"""Grass""",76,Special,normal,120,100,0,10,Charges turn 1. Hits turn 2. No charge in sunlight.,"This attack charges on the first turn and executes on the second. Power is halved if the weather is Primordial Sea, Rain Dance, Sandstorm, or Snow and the user is not holding Utility Umbrella. If the user is holding a Power Herb or the weather is Desolate Land or Sunny Day, the move completes in one turn. If the user is holding Utility Umbrella and the weather is Desolate Land or Sunny Day, the move still requires a turn to charge.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Solar Blade,"""Grass""",669,Physical,normal,125,100,0,10,Charges turn 1. Hits turn 2. No charge in sunlight.,"This attack charges on the first turn and executes on the second. Power is halved if the weather is Hail, Primordial Sea, Rain Dance, or Sandstorm and the user is not holding Utility Umbrella. If the user is holding a Power Herb or the weather is Desolate Land or Sunny Day, the move completes in one turn. If the user is holding Utility Umbrella and the weather is Desolate Land or Sunny Day, the move still requires a turn to charge.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Sonic Boom,"""Normal""",49,Special,normal,0,90,0,20,Always does 20 HP of damage.,Deals 20 HP of damage to the target.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soul-Stealing 7-Star Strike,"""Ghost""",699,Physical,normal,195,-1,0,1,No additional effect.,No additional effect.,0,0,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Spacial Rend,"""Dragon""",460,Special,normal,100,95,0,5,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spark,"""Electric""",209,Physical,normal,65,100,0,20,30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Sparkling Aria,"""Water""",664,Special,allAdjacent,90,100,0,10,The target is cured of its burn.,"If the user has not fainted, the target is cured of its burn.",1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Sparkly Swirl,"""Fairy""",740,Special,normal,120,85,0,5,Cures the user's party of all status conditions.,Every Pokemon in the user's party is cured of its non-volatile status condition.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectral Thief,"""Ghost""",712,Physical,normal,90,100,0,10,Steals target's boosts before dealing damage.,The target's stat stages greater than 0 are stolen from it and applied to the user before dealing damage.,0,0,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed Swap,"""Psychic""",683,Status,normal,0,-1,0,10,Swaps Speed stat with target.,The user swaps its Speed stat with the target. Stat stage changes are unaffected.,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spicy Extract,"""Grass""",858,Status,normal,0,-1,0,15,Raises target's Atk by 2 and lowers its Def by 2.,Raises the target's Attack by 2 stages and lowers its Defense by 2 stages.,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spider Web,"""Bug""",169,Status,normal,0,-1,0,10,Prevents the target from switching out.,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spike Cannon,"""Normal""",131,Physical,normal,20,100,0,15,Hits 2-5 times in one turn.,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spikes,"""Ground""",191,Status,foeSide,0,-1,0,20,Hurts grounded foes on switch-in. Max 3 layers.,"Sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in, unless it is a Flying-type Pokemon or has the Levitate Ability. Can be used up to three times before failing. Opponents lose 1/8 of their maximum HP with one layer, 1/6 of their maximum HP with two layers, and 1/4 of their maximum HP with three layers, all rounded down. Can be removed from the opposing side if any Pokemon uses Tidy Up, or if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spiky Shield,"""Grass""",596,Status,self,0,-1,4,10,Protects from moves. Contact: loses 1/8 max HP.,"The user is protected from most attacks made by other Pokemon during this turn, and Pokemon making contact with the user lose 1/8 of their maximum HP, rounded down. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spin Out,"""Steel""",859,Physical,normal,100,100,0,5,Lowers the user's Speed by 2.,Lowers the user's Speed by 2 stages.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Spirit Break,"""Fairy""",789,Physical,normal,75,100,0,15,100% chance to lower the target's Sp. Atk by 1.,Has a 100% chance to lower the target's Special Attack by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Spirit Shackle,"""Ghost""",662,Physical,normal,80,100,0,10,Prevents the target from switching out.,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Spit Up,"""Normal""",255,Special,normal,0,100,0,10,More power with more uses of Stockpile.,"Power is equal to 100 times the user's Stockpile count. Fails if the user's Stockpile count is 0. Whether or not this move is successful, the user's Defense and Special Defense decrease by as many stages as Stockpile had increased them, and the user's Stockpile count resets to 0.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spite,"""Ghost""",180,Status,normal,0,100,0,10,Lowers the PP of the target's last move by 4.,"Causes the target's last move used to lose 4 PP. Fails if the target has not made a move, if the move has 0 PP, or if it no longer knows the move.",0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Splash,"""Normal""",150,Status,self,0,-1,0,40,No competitive use.,No competitive use.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Splintered Stormshards,"""Rock""",727,Physical,normal,190,-1,0,1,Ends the effects of terrain.,"Ends the effects of Electric Terrain, Grassy Terrain, Misty Terrain, and Psychic Terrain.",0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Splishy Splash,"""Water""",730,Special,allAdjacentFoes,90,100,0,15,30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spore,"""Grass""",147,Status,normal,0,100,0,15,Causes the target to fall asleep.,Causes the target to fall asleep.,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Spotlight,"""Normal""",671,Status,normal,0,-1,3,15,Target's foes' moves are redirected to it this turn.,"Until the end of the turn, all single-target attacks from opponents of the target are redirected to the target. Such attacks are redirected to the target before they can be reflected by Magic Coat or the Magic Bounce Ability, or drawn in by the Lightning Rod or Storm Drain Abilities. Fails if it is not a Double Battle or Battle Royal.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springtide Storm,"""Fairy""",831,Special,allAdjacentFoes,100,80,0,5,30% chance to lower the foe(s) Attack by 1.,Has a 30% chance to lower the target's Attack by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Stealth Rock,"""Rock""",446,Status,foeSide,0,-1,0,20,Hurts foes on switch-in. Factors Rock weakness.,"Sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in. Fails if the effect is already active on the opposing side. Foes lose 1/32, 1/16, 1/8, 1/4, or 1/2 of their maximum HP, rounded down, based on their weakness to the Rock type; 0.25x, 0.5x, neutral, 2x, or 4x, respectively. Can be removed from the opposing side if any Pokemon uses Tidy Up, or if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Steam Eruption,"""Water""",592,Special,normal,110,95,0,5,30% chance to burn the target. Thaws target.,Has a 30% chance to burn the target. The target thaws out if it is frozen.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Steamroller,"""Bug""",537,Physical,normal,65,100,0,20,30% chance to make the target flinch.,Has a 30% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Steel Beam,"""Steel""",796,Special,normal,140,95,0,5,User loses 50% max HP.,"Whether or not this move is successful and even if it would cause fainting, the user loses 1/2 of its maximum HP, rounded up, unless the user has the Magic Guard Ability.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Steel Roller,"""Steel""",798,Physical,normal,130,100,0,5,Fails if there is no terrain active. Ends the terrain.,"Fails if there is no terrain active. Ends the effects of Electric Terrain, Grassy Terrain, Misty Terrain, and Psychic Terrain.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Steel Wing,"""Steel""",211,Physical,normal,70,90,0,25,10% chance to raise the user's Defense by 1.,Has a 10% chance to raise the user's Defense by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Sticky Web,"""Bug""",564,Status,foeSide,0,-1,0,20,Lowers Speed of grounded foes by 1 on switch-in.,"Sets up a hazard on the opposing side of the field, lowering the Speed by 1 stage of each opposing Pokemon that switches in, unless it is a Flying-type Pokemon or has the Levitate Ability. Fails if the effect is already active on the opposing side. Can be removed from the opposing side if any Pokemon uses Tidy Up, or if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stockpile,"""Normal""",254,Status,self,0,-1,0,20,"Raises user's Defense, Sp. Def by 1. Max 3 uses.",Raises the user's Defense and Special Defense by 1 stage. The user's Stockpile count increases by 1. Fails if the user's Stockpile count is 3. The user's Stockpile count is reset to 0 when it is no longer active.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stoked Sparksurfer,"""Electric""",700,Special,normal,175,-1,0,1,100% chance to paralyze the target.,Has a 100% chance to paralyze the target.,1,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Stomp,"""Normal""",23,Physical,normal,65,100,0,20,30% chance to make the target flinch.,Has a 30% chance to make the target flinch. Damage doubles and no accuracy check is done if the target has used Minimize while active.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Stomping Tantrum,"""Ground""",707,Physical,normal,75,100,0,10,Power doubles if the user's last move failed.,"Power doubles if the user's last move on the previous turn, including moves called by other moves or those used through Instruct, Magic Coat, Snatch, or the Dancer or Magic Bounce Abilities, failed to do any of its normal effects, not including damage from an unsuccessful High Jump Kick, Jump Kick, or Mind Blown, or if the user was prevented from moving by any effect other than recharging or Sky Drop. A move that was blocked by Baneful Bunker, Detect, King's Shield, Protect, Spiky Shield, Crafty Shield, Mat Block, Quick Guard, or Wide Guard will not double this move's power, nor will Bounce or Fly ending early due to the effect of Gravity, Smack Down, or Thousand Arrows.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Stone Axe,"""Rock""",830,Physical,normal,65,90,0,15,Sets Stealth Rock on the target's side.,"If this move is successful, it sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in. Foes lose 1/32, 1/16, 1/8, 1/4, or 1/2 of their maximum HP, rounded down, based on their weakness to the Rock type; 0.25x, 0.5x, neutral, 2x, or 4x, respectively. Can be removed from the opposing side if any Pokemon uses Tidy Up, or if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Stone Edge,"""Rock""",444,Physical,normal,100,80,0,5,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stored Power,"""Psychic""",500,Special,normal,20,100,0,10, + 20 power for each of the user's stat boosts.,"Power is equal to 20+(X*20), where X is the user's total stat stage changes that are greater than 0.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
